proteins,genes
1008019,1008018
1008029,1008026
1008059,1008058
1008064,1008063
1008069,1008068
1008074,1008073
1008079,1008078
1008084,1008083
1008089,1008088
1008105,1008104
1008110,1008109
1008136,1008135
1008151,1008142
1008164,1008158
1008207,1008194
1008212,1008211
1008217,1008216
1008226,1008223
1008231,1008230
1008244,1008237
1008253,1008252
1008279,1008275
1008284,1008283
1008292,1008291
1008322,1008321
1008333,1008328
1008346,1008340
1008360,1008353
1008365,1008364
1008370,1008369
1008380,1008379
1008406,1008405
1008415,1008412
1008443,1008442
1008448,1008447
1008453,1008452
1008458,1008457
1008469,1008464
1008482,1008477
1008501,1008494
1008526,1008523
1008531,1008530
1008561,1008560
1008566,1008565
1008571,1008570
1008576,1008575
1008583,1008582
1008588,1008587
1008602,1008601
1008623,1008622
1008628,1008627
1008653,1008652
1008662,1008659
1008671,1008668
1008676,1008675
1008681,1008680
1008694,1008687
1008710,1008705
1008737,1008736
1008742,1008741
1008754,1008749
1008779,1008778
1008796,1008786
1008801,1008800
1008806,1008805
1008819,1008812
1008835,1008829
1008840,1008839
1008864,1008859
1008893,1008890
1008901,1008900
1008926,1008925
1008933,1008932
1008945,1008940
1008950,1008949
1008955,1008954
1008960,1008959
1008965,1008964
1008995,1008988
1009018,1009015
1009048,1009047
1009053,1009052
1009058,1009057
1009070,1009065
1009075,1009074
1009080,1009079
1009094,1009093
1009111,1009102
1009135,1009132
1009156,1009142
1009161,1009160
1009207,1009195
1009212,1009211
1009217,1009216
1009226,1009223
1009245,1009232
1009250,1009249
1009255,1009254
1009274,1009273
1009302,1009301
1009338,1009337
1009351,1009344
1009360,1009357
1009365,1009364
1009370,1009369
1009375,1009374
1009389,1009388
1009396,1009395
1009420,1009419
1009425,1009424
1009447,1009431
1009468,1009467
1009479,1009474
1009484,1009483
1009489,1009488
1009503,1009495
1009514,1009509
1009528,1009527
1009539,1009534
1009567,1009566
1009572,1009571
1009597,1009596
1009611,1009607
1009623,1009618
1009634,1009629
1009647,1009640
1009652,1009651
1009667,1009660
1009686,1009685
1009721,1009714
1009726,1009725
1009749,1009748
1009759,1009755
1009764,1009763
1009780,1009773
1009792,1009787
1009800,1009799
1009805,1009804
1009826,1009825
1009862,1009855
1009867,1009866
1009908,1009903
1009915,1009914
1009927,1009922
1009932,1009931
1009937,1009936
1009942,1009941
1009947,1009946
1009962,1009961
1009969,1009968
1009991,1009990
1009996,1009995
1010021,1010020
1010026,1010025
1010031,1010030
1010036,1010035
1010047,1010042
1010054,1010053
1010059,1010058
1010064,1010063
1010069,1010068
1010088,1010087
1010093,1010092
1010103,1010100
1010130,1010129
1010135,1010134
1010140,1010139
1010156,1010147
1010161,1010160
1010166,1010165
1010171,1010170
1010194,1010193
1010216,1010215
1010221,1010220
1010231,1010228
1010276,1010266
1010281,1010280
1010286,1010285
1010291,1010290
1010296,1010295
1010315,1010308
1010340,1010336
1010368,1010364
1010373,1010372
1010401,1010400
1010406,1010405
1010413,1010412
