protein,keywords
1005186,1001308
1005210,1001308
1005216,1000012
1005216,1000015
1005216,1000999
1005225,1000439
1005262,1000236
1005330,1000491
1005342,1000014
1005342,1005332
1005396,1000308
1005396,1000392
1005452,1000016
1005452,1000560
1005452,1000562
1005452,1000891
1005497,1000012
1005497,1000015
1005497,1005478
1005511,1000012
1005511,1000015
1005521,1000308
1005521,1000439
1005521,1000440
1005521,1002701
1005525,1000195
1005525,1000427
1005525,1002701
1005548,1005536
1005633,1000015
1005633,1000574
1005652,1000102
1005652,1000155
1005652,1000156
1005652,1000393
1005652,1000529
1005652,1000720
1005652,1000721
1005652,1005635
1005657,1000012
1005657,1000015
1005657,1000308
1005657,1001308
1005662,1000393
1005662,1000529
1005662,1000530
1005716,1000014
1005733,1000012
1005733,1000015
1005733,1000439
1005743,1000393
1005743,1000529
1005743,1000530
1005743,1001413
1005748,1000014
1005779,1000195
1005790,1000393
1005790,1000529
1005790,1000530
1005808,1001413
1005808,1002701
1005831,1005827
1005847,1000236
1005881,1000012
1005881,1000015
1005881,1000491
1005881,1000999
1005881,1005869
1005890,1000014
1005890,1000546
1005899,1000236
1006007,1000195
1006007,1001942
1006030,1000016
1006030,1000631
1006034,1000014
1006034,1000546
1006057,1000611
1006075,1002701
1006080,1000012
1006080,1000015
1006080,1001413
1006080,1001552
1006080,1001553
1006085,1000393
1006085,1000529
1006085,1000530
1006113,1000393
1006113,1000529
1006113,1000530
1006127,1000236
1006169,1000393
1006169,1000529
1006169,1000530
1006202,1000014
1006202,1000016
1006202,1001704
1006217,1000308
1006242,1000012
1006242,1000015
1006260,1000236
1006271,1000308
1006302,1000016
1006302,1000631
1006306,1000611
1006311,1000235
1006311,1000236
1006325,1000012
1006325,1000015
1006325,1002976
1006367,1000012
1006367,1000014
1006367,1000015
1006367,1000016
1006367,1000546
1006413,1000016
1006413,1000261
1006488,1000012
1006488,1000015
1006488,1000102
1006488,1001013
1006488,1001014
1006488,1006484
1006488,1006485
1006492,1000012
1006492,1000015
1006515,1001413
1006559,1000236
1006563,1000016
1006563,1000560
1006563,1000891
1006583,1001965
1006605,1000236
1006623,1000611
1006631,1000195
1006631,1005827
1006657,1000016
1006657,1000560
1006657,1000562
1006657,1000891
1006666,1000611
1006692,1000560
1006727,1000014
1006749,1000235
1006749,1000236
1006810,1000308
1006810,1004227
1006839,1000393
1006839,1000529
1006839,1000530
1006851,1000012
1006851,1000014
1006851,1000015
1006851,1000016
1006851,1000546
1006880,1000439
1006896,1000016
1006896,1000158
1006896,1000891
1006909,1000012
1006909,1000015
1006939,1000012
1006939,1000015
1006939,1000308
1006939,1001308
1006948,1002792
1006956,1000157
1007007,1000393
1007007,1000529
1007007,1000530
1007022,1000561
1007022,1000999
1007022,1001438
1007022,1001439
1007036,1000015
1007036,1000574
1007045,1000016
1007045,1000245
1007096,1000235
1007096,1000236
1007125,1000012
1007125,1000015
1007125,1000308
1007125,1001308
1007172,1000393
1007172,1000529
1007172,1000530
1007183,1000102
1007183,1000308
1007183,1001013
1007183,1001014
1007198,1000012
1007198,1000015
1007198,1000016
1007207,1000308
1007207,1000439
1007218,1000308
1007226,1000155
1007226,1000158
1007287,1000016
1007287,1002861
1007335,1000195
1007335,1001942
1007359,1000426
1007363,1000012
1007363,1000015
1007434,1000016
1007434,1000155
1007434,1000158
1007434,1000245
1007482,1000101
1007482,1000309
1007482,1000394
1007482,1000718
1007482,1000719
1007501,1000102
1007501,1000133
1007501,1000134
1007501,1000155
1007501,1000156
1007506,1000393
1007506,1000529
1007506,1000530
1007523,1000561
1007536,1000393
1007536,1000529
1007536,1000530
1007575,1000439
1007620,1000308
1007620,1007608
1007642,1000392
1007642,1000393
1007642,1007639
1007703,1000012
1007703,1000015
1007719,1000012
1007719,1000014
1007719,1000015
1007719,1000016
1007719,1000546
1007745,1000016
1007745,1000890
1007745,1000891
1007745,1000999
1007745,1007733
1007762,1000012
1007762,1000015
1007762,1000308
1007762,1002976
1007797,1000394
1007802,1002701
1007904,1000236
1008002,1000016
1008050,1001308
1008095,1000016
1008095,1000890
1008095,1000891
1008095,1000999
1008095,1007733
1008100,1000016
1008100,1002861
1008115,1000235
1008115,1000236
1008119,1000236
1008128,1000012
1008128,1000308
1008128,1001308
1008151,1001552
1008168,1000195
1008168,1001942
1008258,1001413
1008258,1001552
1008268,1000235
1008268,1000236
1008279,1000016
1008305,1000012
1008305,1000015
1008385,1000012
1008385,1000015
1008385,1000308
1008385,1001308
1008397,1000015
1008397,1000574
1008415,1000393
1008415,1000529
1008415,1000530
1008420,1000012
1008420,1000015
1008469,1000236
1008482,1000308
1008482,1000392
1008602,1000195
1008602,1001942
1008614,1000012
1008614,1000014
1008614,1000015
1008614,1000016
1008648,1000012
1008648,1000308
1008648,1001308
1008710,1000235
1008710,1000236
1008715,1000014
1008724,1000014
1008754,1002158
1008774,1000015
1008774,1000574
1008774,1002158
1008796,1001413
1008801,1000195
1008801,1001773
1008801,1005827
1008835,1000611
1008835,1008823
1008848,1002976
1008864,1000014
1008864,1000016
1008945,1000012
1008945,1000015
1008945,1000308
1008945,1001308
1008950,1000195
1008950,1005827
1008980,1000012
1008980,1000015
1008980,1000308
1008980,1001308
1008995,1000561
1008995,1000999
1008995,1001438
1008995,1001439
1009018,1000393
1009018,1000529
1009018,1000530
1009039,1000393
1009039,1000529
1009039,1000530
1009039,1001308
1009043,1000016
1009043,1002861
1009084,1002792
1009111,1000016
1009111,1000890
1009111,1000891
1009111,1000999
1009111,1007733
1009122,1000611
1009135,1000308
1009156,1000012
1009156,1000015
