qualifier,annotationextension,id,ontologytermid,subjectid,class
,,1001632,1001630,1001624,org.intermine.model.bio.GOAnnotation
,,1001635,1001633,1001624,org.intermine.model.bio.GOAnnotation
,,1001638,1001636,1001624,org.intermine.model.bio.GOAnnotation
,,1001666,1001664,1001667,org.intermine.model.bio.GOAnnotation
,,1001670,1001668,1001667,org.intermine.model.bio.GOAnnotation
,,1001672,1001223,1001667,org.intermine.model.bio.GOAnnotation
,,1001675,1001673,1001667,org.intermine.model.bio.GOAnnotation
,,1001678,1001676,1001667,org.intermine.model.bio.GOAnnotation
,,1001718,1001716,1001719,org.intermine.model.bio.GOAnnotation
,,1001722,1001720,1001719,org.intermine.model.bio.GOAnnotation
,,1001733,1001104,1001734,org.intermine.model.bio.GOAnnotation
,,1001740,1001251,1001741,org.intermine.model.bio.GOAnnotation
,,1001744,1001742,1001741,org.intermine.model.bio.GOAnnotation
,,1001747,1001745,1001741,org.intermine.model.bio.GOAnnotation
,,1001750,1001748,1001741,org.intermine.model.bio.GOAnnotation
,,1001791,1000478,1001792,org.intermine.model.bio.GOAnnotation
,,1001795,1001793,1001792,org.intermine.model.bio.GOAnnotation
,,1001798,1001796,1001792,org.intermine.model.bio.GOAnnotation
,,1001846,1001844,1001847,org.intermine.model.bio.GOAnnotation
,,1001849,1001742,1001847,org.intermine.model.bio.GOAnnotation
,,1001852,1001850,1001847,org.intermine.model.bio.GOAnnotation
,,1001854,1001676,1001847,org.intermine.model.bio.GOAnnotation
,,1001861,1001859,1001862,org.intermine.model.bio.GOAnnotation
,,1001865,1001863,1001862,org.intermine.model.bio.GOAnnotation
,,1001867,1001676,1001862,org.intermine.model.bio.GOAnnotation
,,1001875,1001873,1001876,org.intermine.model.bio.GOAnnotation
,,1001879,1001877,1001876,org.intermine.model.bio.GOAnnotation
,,1001882,1001880,1001876,org.intermine.model.bio.GOAnnotation
,,1001884,1001748,1001876,org.intermine.model.bio.GOAnnotation
,,1001887,1001885,1001876,org.intermine.model.bio.GOAnnotation
,,1001890,1001888,1001876,org.intermine.model.bio.GOAnnotation
,,1001910,1000478,1001911,org.intermine.model.bio.GOAnnotation
,,1001914,1001912,1001911,org.intermine.model.bio.GOAnnotation
,,1001917,1001915,1001911,org.intermine.model.bio.GOAnnotation
,,1001920,1001918,1001911,org.intermine.model.bio.GOAnnotation
,,1001983,1001981,1001984,org.intermine.model.bio.GOAnnotation
,,1001987,1001985,1001984,org.intermine.model.bio.GOAnnotation
,,1001994,1001621,1001995,org.intermine.model.bio.GOAnnotation
,,1001997,1000478,1001995,org.intermine.model.bio.GOAnnotation
,,1002000,1001998,1001995,org.intermine.model.bio.GOAnnotation
,,1002002,1001142,1001995,org.intermine.model.bio.GOAnnotation
,,1002005,1002003,1001995,org.intermine.model.bio.GOAnnotation
,,1002007,1001676,1001995,org.intermine.model.bio.GOAnnotation
,,1002010,1002008,1001995,org.intermine.model.bio.GOAnnotation
,,1002022,1002020,1002023,org.intermine.model.bio.GOAnnotation
,,1002029,1001664,1002030,org.intermine.model.bio.GOAnnotation
,,1002033,1002031,1002030,org.intermine.model.bio.GOAnnotation
,,1002035,1001223,1002030,org.intermine.model.bio.GOAnnotation
,,1002037,1001451,1002030,org.intermine.model.bio.GOAnnotation
,,1002044,1002042,1002045,org.intermine.model.bio.GOAnnotation
,,1002048,1002046,1002045,org.intermine.model.bio.GOAnnotation
,,1002050,1001676,1002045,org.intermine.model.bio.GOAnnotation
,,1002075,1002073,1002076,org.intermine.model.bio.GOAnnotation
,,1002078,1001676,1002076,org.intermine.model.bio.GOAnnotation
,,1002081,1002079,1002076,org.intermine.model.bio.GOAnnotation
,,1002169,1002167,1002170,org.intermine.model.bio.GOAnnotation
,,1002177,1002175,1002178,org.intermine.model.bio.GOAnnotation
,,1002185,1002183,1002186,org.intermine.model.bio.GOAnnotation
,,1002189,1002187,1002186,org.intermine.model.bio.GOAnnotation
,,1002192,1002190,1002186,org.intermine.model.bio.GOAnnotation
,,1002194,1001676,1002186,org.intermine.model.bio.GOAnnotation
,,1002222,1000478,1002223,org.intermine.model.bio.GOAnnotation
,,1002226,1002224,1002223,org.intermine.model.bio.GOAnnotation
,,1002228,1001915,1002223,org.intermine.model.bio.GOAnnotation
,,1002262,1000478,1002263,org.intermine.model.bio.GOAnnotation
,,1002265,1001912,1002263,org.intermine.model.bio.GOAnnotation
,,1002267,1001915,1002263,org.intermine.model.bio.GOAnnotation
,,1002269,1001918,1002263,org.intermine.model.bio.GOAnnotation
,,1002285,1000478,1002286,org.intermine.model.bio.GOAnnotation
,,1002289,1002287,1002286,org.intermine.model.bio.GOAnnotation
,,1002292,1002290,1002286,org.intermine.model.bio.GOAnnotation
,,1002295,1002293,1002286,org.intermine.model.bio.GOAnnotation
,,1002334,1001251,1002335,org.intermine.model.bio.GOAnnotation
,,1002372,1001859,1002373,org.intermine.model.bio.GOAnnotation
,,1002376,1002374,1002373,org.intermine.model.bio.GOAnnotation
,,1002378,1001863,1002373,org.intermine.model.bio.GOAnnotation
,,1002380,1001676,1002373,org.intermine.model.bio.GOAnnotation
,,1002387,1002385,1002388,org.intermine.model.bio.GOAnnotation
,,1002391,1002389,1002388,org.intermine.model.bio.GOAnnotation
,,1002394,1002392,1002388,org.intermine.model.bio.GOAnnotation
,,1002396,1001056,1002388,org.intermine.model.bio.GOAnnotation
,,1002407,1002405,1002408,org.intermine.model.bio.GOAnnotation
,,1002411,1002409,1002408,org.intermine.model.bio.GOAnnotation
,,1002414,1002412,1002408,org.intermine.model.bio.GOAnnotation
,,1002417,1002415,1002408,org.intermine.model.bio.GOAnnotation
,,1002458,1002456,1002459,org.intermine.model.bio.GOAnnotation
,,1002461,1001458,1002459,org.intermine.model.bio.GOAnnotation
,,1002464,1002462,1002459,org.intermine.model.bio.GOAnnotation
,,1002467,1002465,1002459,org.intermine.model.bio.GOAnnotation
,,1002470,1002468,1002459,org.intermine.model.bio.GOAnnotation
,,1002493,1002224,1002494,org.intermine.model.bio.GOAnnotation
,,1002497,1002495,1002494,org.intermine.model.bio.GOAnnotation
,,1002500,1002498,1002494,org.intermine.model.bio.GOAnnotation
,,1002503,1002501,1002494,org.intermine.model.bio.GOAnnotation
,,1002534,1001176,1002535,org.intermine.model.bio.GOAnnotation
,,1002537,1001180,1002535,org.intermine.model.bio.GOAnnotation
,,1002539,1001183,1002535,org.intermine.model.bio.GOAnnotation
,,1002545,1001251,1002546,org.intermine.model.bio.GOAnnotation
,,1002600,1002598,1002601,org.intermine.model.bio.GOAnnotation
,,1002604,1002602,1002601,org.intermine.model.bio.GOAnnotation
,,1002611,1001873,1002612,org.intermine.model.bio.GOAnnotation
,,1002615,1002613,1002612,org.intermine.model.bio.GOAnnotation
,,1002618,1002616,1002612,org.intermine.model.bio.GOAnnotation
,,1002620,1001676,1002612,org.intermine.model.bio.GOAnnotation
,,1002659,1002657,1002660,org.intermine.model.bio.GOAnnotation
,,1002662,1002224,1002660,org.intermine.model.bio.GOAnnotation
,,1002665,1002663,1002660,org.intermine.model.bio.GOAnnotation
,,1002686,1002613,1002687,org.intermine.model.bio.GOAnnotation
,,1002690,1002688,1002687,org.intermine.model.bio.GOAnnotation
,,1002692,1002616,1002687,org.intermine.model.bio.GOAnnotation
,,1002786,1001716,1002787,org.intermine.model.bio.GOAnnotation
,,1002789,1001720,1002787,org.intermine.model.bio.GOAnnotation
,,1002797,1002795,1002798,org.intermine.model.bio.GOAnnotation
,,1002801,1002799,1002798,org.intermine.model.bio.GOAnnotation
,,1002804,1002802,1002798,org.intermine.model.bio.GOAnnotation
,,1002810,1001880,1002811,org.intermine.model.bio.GOAnnotation
,,1002873,1001251,1002874,org.intermine.model.bio.GOAnnotation
,,1002876,1001742,1002874,org.intermine.model.bio.GOAnnotation
,,1002878,1001104,1002874,org.intermine.model.bio.GOAnnotation
,,1002943,1002941,1002944,org.intermine.model.bio.GOAnnotation
,,1002947,1002945,1002944,org.intermine.model.bio.GOAnnotation
,,1002959,1002957,1002960,org.intermine.model.bio.GOAnnotation
,,1002963,1002961,1002960,org.intermine.model.bio.GOAnnotation
,,1003002,1003000,1003003,org.intermine.model.bio.GOAnnotation
,,1003005,1001223,1003003,org.intermine.model.bio.GOAnnotation
,,1003008,1003006,1003003,org.intermine.model.bio.GOAnnotation
,,1003014,1002224,1003015,org.intermine.model.bio.GOAnnotation
,,1003021,1001176,1003022,org.intermine.model.bio.GOAnnotation
,,1003025,1003023,1003022,org.intermine.model.bio.GOAnnotation
,,1003027,1001183,1003022,org.intermine.model.bio.GOAnnotation
,,1003033,1001142,1003034,org.intermine.model.bio.GOAnnotation
,,1003036,1001088,1003034,org.intermine.model.bio.GOAnnotation
,,1003038,1001462,1003034,org.intermine.model.bio.GOAnnotation
,,1003045,1003043,1003046,org.intermine.model.bio.GOAnnotation
,,1003076,1001056,1003077,org.intermine.model.bio.GOAnnotation
,,1003105,1001458,1003106,org.intermine.model.bio.GOAnnotation
,,1003108,1001462,1003106,org.intermine.model.bio.GOAnnotation
,,1003147,1003145,1003148,org.intermine.model.bio.GOAnnotation
,,1003150,1001251,1003148,org.intermine.model.bio.GOAnnotation
,,1003152,1001223,1003148,org.intermine.model.bio.GOAnnotation
,,1003215,1000478,1003216,org.intermine.model.bio.GOAnnotation
,,1003219,1003217,1003216,org.intermine.model.bio.GOAnnotation
,,1003222,1003220,1003216,org.intermine.model.bio.GOAnnotation
,,1003225,1003223,1003216,org.intermine.model.bio.GOAnnotation
,,1003227,1001915,1003216,org.intermine.model.bio.GOAnnotation
,,1003229,1001918,1003216,org.intermine.model.bio.GOAnnotation
,,1003265,1001176,1003266,org.intermine.model.bio.GOAnnotation
,,1003269,1003267,1003266,org.intermine.model.bio.GOAnnotation
,,1003271,1001180,1003266,org.intermine.model.bio.GOAnnotation
,,1003274,1003272,1003266,org.intermine.model.bio.GOAnnotation
,,1003281,1003279,1003282,org.intermine.model.bio.GOAnnotation
,,1003284,1001451,1003282,org.intermine.model.bio.GOAnnotation
,,1003286,1001676,1003282,org.intermine.model.bio.GOAnnotation
,,1003297,1001088,1003298,org.intermine.model.bio.GOAnnotation
,,1003300,1001462,1003298,org.intermine.model.bio.GOAnnotation
,,1003307,1003220,1003308,org.intermine.model.bio.GOAnnotation
,,1003328,1002290,1003329,org.intermine.model.bio.GOAnnotation
,,1003331,1001104,1003329,org.intermine.model.bio.GOAnnotation
,,1003340,1003338,1003341,org.intermine.model.bio.GOAnnotation
,,1003343,1001165,1003341,org.intermine.model.bio.GOAnnotation
,,1003369,1003367,1003370,org.intermine.model.bio.GOAnnotation
,,1003372,1001462,1003370,org.intermine.model.bio.GOAnnotation
,,1003374,1001676,1003370,org.intermine.model.bio.GOAnnotation
,,1003381,1000478,1003382,org.intermine.model.bio.GOAnnotation
,,1003384,1001088,1003382,org.intermine.model.bio.GOAnnotation
,,1003421,1003419,1003422,org.intermine.model.bio.GOAnnotation
,,1003425,1003423,1003422,org.intermine.model.bio.GOAnnotation
,,1003427,1001056,1003422,org.intermine.model.bio.GOAnnotation
,,1003429,1001676,1003422,org.intermine.model.bio.GOAnnotation
,,1003529,1003527,1003530,org.intermine.model.bio.GOAnnotation
,,1003533,1003531,1003530,org.intermine.model.bio.GOAnnotation
,,1003535,1001165,1003530,org.intermine.model.bio.GOAnnotation
,,1003537,1001088,1003530,org.intermine.model.bio.GOAnnotation
,,1003539,1001056,1003530,org.intermine.model.bio.GOAnnotation
,,1003542,1003540,1003530,org.intermine.model.bio.GOAnnotation
,,1003544,1001676,1003530,org.intermine.model.bio.GOAnnotation
,,1003556,1003554,1003557,org.intermine.model.bio.GOAnnotation
,,1003560,1003558,1003557,org.intermine.model.bio.GOAnnotation
,,1003562,1001676,1003557,org.intermine.model.bio.GOAnnotation
,,1003565,1003563,1003557,org.intermine.model.bio.GOAnnotation
,,1003571,1003000,1003572,org.intermine.model.bio.GOAnnotation
,,1003574,1001223,1003572,org.intermine.model.bio.GOAnnotation
,,1003576,1003006,1003572,org.intermine.model.bio.GOAnnotation
,,1003583,1003581,1003584,org.intermine.model.bio.GOAnnotation
,,1003587,1003585,1003584,org.intermine.model.bio.GOAnnotation
,,1003590,1003588,1003584,org.intermine.model.bio.GOAnnotation
,,1003592,1001056,1003584,org.intermine.model.bio.GOAnnotation
,,1003595,1003593,1003584,org.intermine.model.bio.GOAnnotation
,,1003601,1001142,1003602,org.intermine.model.bio.GOAnnotation
,,1003604,1002167,1003602,org.intermine.model.bio.GOAnnotation
,,1003620,1001859,1003621,org.intermine.model.bio.GOAnnotation
,,1003623,1001863,1003621,org.intermine.model.bio.GOAnnotation
,,1003625,1001676,1003621,org.intermine.model.bio.GOAnnotation
,,1003651,1002385,1003652,org.intermine.model.bio.GOAnnotation
,,1003654,1002389,1003652,org.intermine.model.bio.GOAnnotation
,,1003656,1002392,1003652,org.intermine.model.bio.GOAnnotation
,,1003658,1001056,1003652,org.intermine.model.bio.GOAnnotation
,,1003689,1001462,1003690,org.intermine.model.bio.GOAnnotation
,,1003738,1003736,1003739,org.intermine.model.bio.GOAnnotation
,,1003742,1003740,1003739,org.intermine.model.bio.GOAnnotation
,,1003780,1002293,1003781,org.intermine.model.bio.GOAnnotation
,,1003783,1001748,1003781,org.intermine.model.bio.GOAnnotation
,,1003786,1003784,1003781,org.intermine.model.bio.GOAnnotation
,,1003839,1001165,1003840,org.intermine.model.bio.GOAnnotation
,,1003843,1003841,1003840,org.intermine.model.bio.GOAnnotation
,,1003888,1002385,1003889,org.intermine.model.bio.GOAnnotation
,,1003891,1002389,1003889,org.intermine.model.bio.GOAnnotation
,,1003893,1002392,1003889,org.intermine.model.bio.GOAnnotation
,,1003895,1001056,1003889,org.intermine.model.bio.GOAnnotation
,,1003975,1003973,1003976,org.intermine.model.bio.GOAnnotation
,,1003978,1001742,1003976,org.intermine.model.bio.GOAnnotation
,,1003984,1001223,1003985,org.intermine.model.bio.GOAnnotation
,,1004079,1000478,1004080,org.intermine.model.bio.GOAnnotation
,,1004082,1001088,1004080,org.intermine.model.bio.GOAnnotation
,,1004140,1004138,1004141,org.intermine.model.bio.GOAnnotation
,,1004143,1001676,1004141,org.intermine.model.bio.GOAnnotation
,,1004154,1004152,1004155,org.intermine.model.bio.GOAnnotation
,,1004158,1004156,1004155,org.intermine.model.bio.GOAnnotation
,,1004160,1002079,1004155,org.intermine.model.bio.GOAnnotation
,,1004163,1004161,1004155,org.intermine.model.bio.GOAnnotation
,,1004170,1002802,1004171,org.intermine.model.bio.GOAnnotation
,,1004191,1004189,1004192,org.intermine.model.bio.GOAnnotation
,,1004194,1002293,1004192,org.intermine.model.bio.GOAnnotation
,,1004196,1003419,1004192,org.intermine.model.bio.GOAnnotation
,,1004198,1001748,1004192,org.intermine.model.bio.GOAnnotation
,,1004200,1003784,1004192,org.intermine.model.bio.GOAnnotation
,,1004215,1002802,1004216,org.intermine.model.bio.GOAnnotation
,,1004219,1004217,1004216,org.intermine.model.bio.GOAnnotation
,,1004275,1003531,1004276,org.intermine.model.bio.GOAnnotation
,,1004278,1001676,1004276,org.intermine.model.bio.GOAnnotation
,,1004289,1001056,1004290,org.intermine.model.bio.GOAnnotation
,,1004297,1004295,1004298,org.intermine.model.bio.GOAnnotation
,,1004300,1001863,1004298,org.intermine.model.bio.GOAnnotation
,,1004302,1001676,1004298,org.intermine.model.bio.GOAnnotation
,,1004313,1002688,1004314,org.intermine.model.bio.GOAnnotation
,,1004396,1002224,1004397,org.intermine.model.bio.GOAnnotation
,,1004400,1004398,1004397,org.intermine.model.bio.GOAnnotation
,,1004403,1004401,1004397,org.intermine.model.bio.GOAnnotation
,,1004429,1001180,1004430,org.intermine.model.bio.GOAnnotation
,,1004502,1004500,1004503,org.intermine.model.bio.GOAnnotation
,,1004506,1004504,1004503,org.intermine.model.bio.GOAnnotation
,,1004529,1001142,1004530,org.intermine.model.bio.GOAnnotation
,,1004533,1004531,1004530,org.intermine.model.bio.GOAnnotation
,,1004536,1004534,1004530,org.intermine.model.bio.GOAnnotation
,,1004542,1001742,1004543,org.intermine.model.bio.GOAnnotation
,,1004545,1001104,1004543,org.intermine.model.bio.GOAnnotation
,,1004560,1001742,1004561,org.intermine.model.bio.GOAnnotation
,,1004563,1004504,1004561,org.intermine.model.bio.GOAnnotation
,,1004592,1002802,1004593,org.intermine.model.bio.GOAnnotation
,,1004599,1004295,1004600,org.intermine.model.bio.GOAnnotation
,,1004602,1001863,1004600,org.intermine.model.bio.GOAnnotation
,,1004604,1001676,1004600,org.intermine.model.bio.GOAnnotation
,,1004653,1001176,1004654,org.intermine.model.bio.GOAnnotation
,,1004656,1001180,1004654,org.intermine.model.bio.GOAnnotation
,,1004658,1001183,1004654,org.intermine.model.bio.GOAnnotation
,,1004683,1002941,1004684,org.intermine.model.bio.GOAnnotation
,,1004687,1004685,1004684,org.intermine.model.bio.GOAnnotation
,,1004710,1001873,1004711,org.intermine.model.bio.GOAnnotation
,,1004713,1001918,1004711,org.intermine.model.bio.GOAnnotation
,,1004746,1002374,1004747,org.intermine.model.bio.GOAnnotation
,,1004753,1002613,1004754,org.intermine.model.bio.GOAnnotation
,,1004756,1001251,1004754,org.intermine.model.bio.GOAnnotation
,,1004768,1004766,1004769,org.intermine.model.bio.GOAnnotation
,,1004772,1004770,1004769,org.intermine.model.bio.GOAnnotation
,,1004778,1001142,1004779,org.intermine.model.bio.GOAnnotation
,,1004782,1004780,1004779,org.intermine.model.bio.GOAnnotation
,,1004785,1004783,1004779,org.intermine.model.bio.GOAnnotation
,,1004787,1001462,1004779,org.intermine.model.bio.GOAnnotation
,,1004793,1001088,1004794,org.intermine.model.bio.GOAnnotation
,,1004796,1001462,1004794,org.intermine.model.bio.GOAnnotation
,,1004802,1002020,1004803,org.intermine.model.bio.GOAnnotation
,,1004805,1002802,1004803,org.intermine.model.bio.GOAnnotation
,,1004807,1001223,1004803,org.intermine.model.bio.GOAnnotation
,,1004819,1000478,1004820,org.intermine.model.bio.GOAnnotation
,,1004822,1003279,1004820,org.intermine.model.bio.GOAnnotation
,,1004824,1001088,1004820,org.intermine.model.bio.GOAnnotation
,,1004826,1001451,1004820,org.intermine.model.bio.GOAnnotation
,,1004828,1001676,1004820,org.intermine.model.bio.GOAnnotation
,,1004853,1001142,1004854,org.intermine.model.bio.GOAnnotation
,,1004856,1002167,1004854,org.intermine.model.bio.GOAnnotation
,,1004888,1001165,1004889,org.intermine.model.bio.GOAnnotation
,,1004891,1003540,1004889,org.intermine.model.bio.GOAnnotation
,,1004894,1004892,1004889,org.intermine.model.bio.GOAnnotation
,,1004905,1001462,1004906,org.intermine.model.bio.GOAnnotation
,,1004922,1001142,1004923,org.intermine.model.bio.GOAnnotation
,,1004925,1001462,1004923,org.intermine.model.bio.GOAnnotation
,,1005002,1001458,1005003,org.intermine.model.bio.GOAnnotation
,,1005005,1001462,1005003,org.intermine.model.bio.GOAnnotation
,,1005011,1001458,1005012,org.intermine.model.bio.GOAnnotation
,,1005014,1001462,1005012,org.intermine.model.bio.GOAnnotation
,,1005020,1002374,1005021,org.intermine.model.bio.GOAnnotation
,,1005033,1005031,1005034,org.intermine.model.bio.GOAnnotation
,,1005036,1002167,1005034,org.intermine.model.bio.GOAnnotation
,,1005043,1001176,1005044,org.intermine.model.bio.GOAnnotation
,,1005046,1001180,1005044,org.intermine.model.bio.GOAnnotation
,,1005048,1001183,1005044,org.intermine.model.bio.GOAnnotation
,,1005080,1000478,1005081,org.intermine.model.bio.GOAnnotation
,,1005083,1001088,1005081,org.intermine.model.bio.GOAnnotation
,,1005092,1001859,1005093,org.intermine.model.bio.GOAnnotation
,,1005095,1001863,1005093,org.intermine.model.bio.GOAnnotation
,,1005097,1001676,1005093,org.intermine.model.bio.GOAnnotation
,,1005158,1001176,1005159,org.intermine.model.bio.GOAnnotation
,,1005161,1001180,1005159,org.intermine.model.bio.GOAnnotation
,,1005163,1003272,1005159,org.intermine.model.bio.GOAnnotation
,,1005180,1003367,1005181,org.intermine.model.bio.GOAnnotation
,,1005183,1001462,1005181,org.intermine.model.bio.GOAnnotation
,,1005185,1001676,1005181,org.intermine.model.bio.GOAnnotation
,,1005204,1003279,1005205,org.intermine.model.bio.GOAnnotation
,,1005207,1001462,1005205,org.intermine.model.bio.GOAnnotation
,,1005209,1001676,1005205,org.intermine.model.bio.GOAnnotation
,,1005240,1005238,1005241,org.intermine.model.bio.GOAnnotation
,,1005267,1001251,1005268,org.intermine.model.bio.GOAnnotation
,,1005270,1001742,1005268,org.intermine.model.bio.GOAnnotation
,,1005272,1001104,1005268,org.intermine.model.bio.GOAnnotation
,,1005278,1000478,1005279,org.intermine.model.bio.GOAnnotation
,,1005290,1001458,1005291,org.intermine.model.bio.GOAnnotation
,,1005293,1001462,1005291,org.intermine.model.bio.GOAnnotation
,,1005336,1004295,1005337,org.intermine.model.bio.GOAnnotation
,,1005339,1001863,1005337,org.intermine.model.bio.GOAnnotation
,,1005341,1001676,1005337,org.intermine.model.bio.GOAnnotation
,,1005384,1002293,1005385,org.intermine.model.bio.GOAnnotation
,,1005387,1002374,1005385,org.intermine.model.bio.GOAnnotation
,,1005389,1001165,1005385,org.intermine.model.bio.GOAnnotation
,,1005392,1005390,1005385,org.intermine.model.bio.GOAnnotation
,,1005395,1005393,1005385,org.intermine.model.bio.GOAnnotation
,,1005402,1005400,1005403,org.intermine.model.bio.GOAnnotation
,,1005406,1005404,1005403,org.intermine.model.bio.GOAnnotation
,,1005408,1003006,1005403,org.intermine.model.bio.GOAnnotation
,,1005415,1001873,1005416,org.intermine.model.bio.GOAnnotation
,,1005419,1005417,1005416,org.intermine.model.bio.GOAnnotation
,,1005422,1005420,1005416,org.intermine.model.bio.GOAnnotation
,,1005429,1002795,1005430,org.intermine.model.bio.GOAnnotation
,,1005432,1002802,1005430,org.intermine.model.bio.GOAnnotation
,,1005435,1005433,1005430,org.intermine.model.bio.GOAnnotation
,,1005482,1003527,1005483,org.intermine.model.bio.GOAnnotation
,,1005485,1003531,1005483,org.intermine.model.bio.GOAnnotation
,,1005487,1002224,1005483,org.intermine.model.bio.GOAnnotation
,,1005489,1001165,1005483,org.intermine.model.bio.GOAnnotation
,,1005491,1003540,1005483,org.intermine.model.bio.GOAnnotation
,,1005493,1001676,1005483,org.intermine.model.bio.GOAnnotation
,,1005496,1005494,1005483,org.intermine.model.bio.GOAnnotation
,,1005503,1003419,1005504,org.intermine.model.bio.GOAnnotation
,,1005506,1003423,1005504,org.intermine.model.bio.GOAnnotation
,,1005508,1001056,1005504,org.intermine.model.bio.GOAnnotation
,,1005510,1001676,1005504,org.intermine.model.bio.GOAnnotation
,,1005541,1005539,1005542,org.intermine.model.bio.GOAnnotation
,,1005545,1005543,1005542,org.intermine.model.bio.GOAnnotation
,,1005547,1005417,1005542,org.intermine.model.bio.GOAnnotation
,,1005559,1005557,1005560,org.intermine.model.bio.GOAnnotation
,,1005563,1005561,1005560,org.intermine.model.bio.GOAnnotation
,,1005566,1005564,1005560,org.intermine.model.bio.GOAnnotation
,,1005587,1001088,1005588,org.intermine.model.bio.GOAnnotation
,,1005590,1001223,1005588,org.intermine.model.bio.GOAnnotation
,,1005592,1001462,1005588,org.intermine.model.bio.GOAnnotation
,,1005629,1005031,1005630,org.intermine.model.bio.GOAnnotation
,,1005632,1002167,1005630,org.intermine.model.bio.GOAnnotation
,,1005639,1002224,1005640,org.intermine.model.bio.GOAnnotation
,,1005643,1005641,1005640,org.intermine.model.bio.GOAnnotation
,,1005646,1005644,1005640,org.intermine.model.bio.GOAnnotation
,,1005648,1001088,1005640,org.intermine.model.bio.GOAnnotation
,,1005651,1005649,1005640,org.intermine.model.bio.GOAnnotation
,,1005699,1005697,1005700,org.intermine.model.bio.GOAnnotation
,,1005702,1001636,1005700,org.intermine.model.bio.GOAnnotation
,,1005704,1001451,1005700,org.intermine.model.bio.GOAnnotation
,,1005710,1001859,1005711,org.intermine.model.bio.GOAnnotation
,,1005713,1001863,1005711,org.intermine.model.bio.GOAnnotation
,,1005715,1001676,1005711,org.intermine.model.bio.GOAnnotation
,,1005721,1003531,1005722,org.intermine.model.bio.GOAnnotation
,,1005725,1005723,1005722,org.intermine.model.bio.GOAnnotation
,,1005728,1005726,1005722,org.intermine.model.bio.GOAnnotation
,,1005730,1001165,1005722,org.intermine.model.bio.GOAnnotation
