location,datasets
2001216,2000001
2001218,2000001
2001221,2000001
2001223,2000001
2001225,2000001
2001228,2000001
2001230,2000001
2001232,2000001
2001234,2000001
2001236,2000001
2001238,2000001
2001240,2000001
2001242,2000001
2001244,2000001
2001247,2000001
2001249,2000001
2001251,2000001
2001254,2000001
2001256,2000001
2001258,2000001
2001260,2000001
2001262,2000001
2001265,2000001
2001267,2000001
2001269,2000001
2001271,2000001
2001274,2000001
2001276,2000001
2001278,2000001
2001280,2000001
2001283,2000001
2001285,2000001
2001287,2000001
2001289,2000001
2001292,2000001
2001294,2000001
2001296,2000001
2001298,2000001
2001300,2000001
2001303,2000001
2001305,2000001
2001307,2000001
2001309,2000001
2001312,2000001
2001314,2000001
2001316,2000001
2001318,2000001
2001321,2000001
2001323,2000001
2001325,2000001
2001327,2000001
2001330,2000001
2001332,2000001
2001334,2000001
2001337,2000001
2001339,2000001
2001341,2000001
2001343,2000001
2001346,2000001
2001348,2000001
2001350,2000001
2001353,2000001
2001355,2000001
2001357,2000001
2001359,2000001
2001361,2000001
2001363,2000001
2001365,2000001
2001368,2000001
2001370,2000001
2001372,2000001
2001374,2000001
2001376,2000001
2001378,2000001
2001380,2000001
2001382,2000001
2001384,2000001
2001387,2000001
2001389,2000001
2001391,2000001
2001393,2000001
2001395,2000001
2001397,2000001
2001400,2000001
2001402,2000001
2001404,2000001
2001407,2000001
2001409,2000001
2001411,2000001
2001414,2000001
2001416,2000001
2001418,2000001
2001420,2000001
2001422,2000001
2001424,2000001
2001427,2000001
2001429,2000001
2001431,2000001
2001433,2000001
2001435,2000001
2001438,2000001
2001440,2000001
2001442,2000001
2001444,2000001
2001446,2000001
2001448,2000001
2001450,2000001
2001452,2000001
2001454,2000001
2001456,2000001
2001458,2000001
2001460,2000001
2001462,2000001
2001465,2000001
2001467,2000001
2001469,2000001
2001471,2000001
2001474,2000001
2001476,2000001
2001478,2000001
2001480,2000001
2001483,2000001
2001485,2000001
2001487,2000001
2001490,2000001
2001492,2000001
2001494,2000001
2001496,2000001
2001498,2000001
2001500,2000001
2001502,2000001
2001504,2000001
2001507,2000001
2001509,2000001
2001511,2000001
2001514,2000001
2001516,2000001
2001518,2000001
2001521,2000001
2001523,2000001
2001525,2000001
2001528,2000001
2001530,2000001
2001532,2000001
2001534,2000001
2001537,2000001
2001539,2000001
2001541,2000001
2001544,2000001
2001546,2000001
2001548,2000001
2001550,2000001
2001552,2000001
2001554,2000001
2001556,2000001
2001558,2000001
2001560,2000001
2001562,2000001
2001564,2000001
2001566,2000001
2001568,2000001
2001570,2000001
2001572,2000001
2001574,2000001
2001576,2000001
2001578,2000001
2001580,2000001
2001582,2000001
2001584,2000001
2001586,2000001
2001588,2000001
2001590,2000001
2001592,2000001
2001594,2000001
2001596,2000001
2001598,2000001
2001600,2000001
2001602,2000001
2001604,2000001
2001606,2000001
2001608,2000001
2001610,2000001
2001612,2000001
2001614,2000001
2001616,2000001
2001618,2000001
2001620,2000001
2001622,2000001
2001624,2000001
2001626,2000001
2001628,2000001
2001631,2000001
2001633,2000001
2001635,2000001
2001637,2000001
2001639,2000001
2001641,2000001
2001643,2000001
2001645,2000001
2001647,2000001
2001649,2000001
2001651,2000001
2001653,2000001
2001655,2000001
2001657,2000001
2001659,2000001
2001661,2000001
2001663,2000001
2001665,2000001
2001667,2000001
2001669,2000001
2001671,2000001
2001673,2000001
2001675,2000001
2001677,2000001
2001679,2000001
2001681,2000001
2001683,2000001
2001685,2000001
2001687,2000001
2001689,2000001
2001691,2000001
2001693,2000001
2001695,2000001
2001697,2000001
2001699,2000001
2001701,2000001
2001703,2000001
2001705,2000001
2001707,2000001
2001709,2000001
2001711,2000001
2001713,2000001
2001715,2000001
2001717,2000001
2001719,2000001
2001721,2000001
2001723,2000001
2001725,2000001
2001727,2000001
2001729,2000001
2001731,2000001
2001733,2000001
2001735,2000001
2001737,2000001
2001739,2000001
2001741,2000001
2001743,2000001
2001745,2000001
2001747,2000001
2001749,2000001
2001751,2000001
2001753,2000001
2001755,2000001
2001757,2000001
2001759,2000001
2001761,2000001
2001763,2000001
2001765,2000001
2001767,2000001
2001769,2000001
2001771,2000001
2001773,2000001
2001775,2000001
2001777,2000001
2001779,2000001
2001781,2000001
2001783,2000001
2001785,2000001
2001787,2000001
2001789,2000001
2001791,2000001
2001793,2000001
2001795,2000001
2001797,2000001
2001799,2000001
2001801,2000001
2001803,2000001
2001805,2000001
2001807,2000001
2001809,2000001
2001811,2000001
2001813,2000001
2001815,2000001
2001817,2000001
2001819,2000001
2001821,2000001
2001823,2000001
2001825,2000001
2001827,2000001
2001829,2000001
2001831,2000001
2001833,2000001
2001835,2000001
2001837,2000001
2001839,2000001
2001841,2000001
2001843,2000001
2001845,2000001
2001847,2000001
2001849,2000001
2001851,2000001
2001853,2000001
2001855,2000001
2001857,2000001
2001859,2000001
2001861,2000001
2001863,2000001
2001865,2000001
2001867,2000001
2001869,2000001
2001871,2000001
2001873,2000001
2001875,2000001
2001877,2000001
2001879,2000001
2001881,2000001
2001883,2000001
2001885,2000001
2001887,2000001
2001889,2000001
2001891,2000001
2001893,2000001
2001895,2000001
2001897,2000001
2001899,2000001
2001901,2000001
2001903,2000001
2001905,2000001
2001907,2000001
2001909,2000001
2001911,2000001
2001913,2000001
2001915,2000001
2001917,2000001
2001919,2000001
2001921,2000001
2001923,2000001
2001925,2000001
2001927,2000001
2001929,2000001
2001931,2000001
2001933,2000001
2001935,2000001
2001937,2000001
2001939,2000001
2001941,2000001
2001943,2000001
2001945,2000001
2001947,2000001
2001949,2000001
2001951,2000001
2001953,2000001
2001955,2000001
2001957,2000001
2001959,2000001
2001961,2000001
2001963,2000001
2001965,2000001
2001967,2000001
2001969,2000001
2001971,2000001
2001973,2000001
2001975,2000001
2001977,2000001
2001979,2000001
2001981,2000001
2001983,2000001
2001985,2000001
2001987,2000001
2001989,2000001
2001991,2000001
2001993,2000001
2001995,2000001
2001997,2000001
2001999,2000001
2002001,2000001
2002003,2000001
2002005,2000001
2002007,2000001
2002009,2000001
2002011,2000001
2002013,2000001
2002015,2000001
2002017,2000001
2002019,2000001
2002021,2000001
2002023,2000001
2002025,2000001
2002027,2000001
2002029,2000001
2002031,2000001
2002033,2000001
2002035,2000001
2002037,2000001
2002039,2000001
2002041,2000001
2002043,2000001
2002045,2000001
2002047,2000001
2002049,2000001
2002051,2000001
2002053,2000001
2002055,2000001
2002057,2000001
2002059,2000001
2002061,2000001
2002063,2000001
2002065,2000001
2002067,2000001
2002069,2000001
2002071,2000001
2002073,2000001
2002075,2000001
2002077,2000001
2002079,2000001
2002081,2000001
2002083,2000001
2002085,2000001
2002087,2000001
2002089,2000001
2002091,2000001
2002093,2000001
2002095,2000001
2002097,2000001
2002099,2000001
2002101,2000001
2002103,2000001
2002105,2000001
2002107,2000001
2002109,2000001
2002111,2000001
2002113,2000001
2002115,2000001
2002117,2000001
2002119,2000001
2002121,2000001
2002123,2000001
2002125,2000001
2002127,2000001
2002129,2000001
2002131,2000001
2002133,2000001
2002135,2000001
2002137,2000001
2002139,2000001
2002141,2000001
2002143,2000001
2002145,2000001
2002147,2000001
2002149,2000001
2002151,2000001
2002153,2000001
2002155,2000001
2002157,2000001
2002159,2000001
2002161,2000001
2002163,2000001
2002165,2000001
2002167,2000001
2002169,2000001
2002171,2000001
2002173,2000001
2002175,2000001
2002177,2000001
2002179,2000001
2002181,2000001
2002183,2000001
2002185,2000001
2002187,2000001
2002189,2000001
2002191,2000001
2002193,2000001
2002195,2000001
2002197,2000001
2002199,2000001
2002201,2000001
2002203,2000001
2002205,2000001
2002207,2000001
2002209,2000001
2002211,2000001
2002213,2000001
2002215,2000001
2002217,2000001
2002219,2000001
2002221,2000001
2002223,2000001
2002225,2000001
2002227,2000001
2002229,2000001
2002231,2000001
2002233,2000001
2002235,2000001
2002237,2000001
2002239,2000001
2002241,2000001
2002243,2000001
2002245,2000001
2002247,2000001
2002249,2000001
2002251,2000001
2002253,2000001
2002255,2000001
2002257,2000001
2002259,2000001
2002261,2000001
2002263,2000001
2002265,2000001
2002267,2000001
2002269,2000001
2002271,2000001
2002273,2000001
2002275,2000001
2002277,2000001
2002279,2000001
2002281,2000001
2002283,2000001
2002285,2000001
2002287,2000001
2002289,2000001
2002291,2000001
2002293,2000001
2002295,2000001
2002297,2000001
2002299,2000001
2002301,2000001
2002303,2000001
2002305,2000001
2002307,2000001
2002309,2000001
2002311,2000001
2002313,2000001
2002315,2000001
2002317,2000001
2002319,2000001
2002321,2000001
2002323,2000001
2002325,2000001
2002327,2000001
2002329,2000001
2002331,2000001
2002333,2000001
2002335,2000001
2002337,2000001
2002339,2000001
2002341,2000001
2002343,2000001
2002345,2000001
2002347,2000001
2002349,2000001
2002351,2000001
2002353,2000001
2002355,2000001
2002357,2000001
2002359,2000001
2002361,2000001
2002363,2000001
2002365,2000001
2002367,2000001
2002369,2000001
2002371,2000001
2002373,2000001
2002375,2000001
2002377,2000001
2002379,2000001
2002381,2000001
2002383,2000001
2002385,2000001
2002387,2000001
2002389,2000001
2002391,2000001
2002393,2000001
