exons,transcripts
2002417,2002415
2002423,2002421
2002429,2002427
2002435,2002433
2002441,2002439
2002443,2002439
2002445,2002439
2002447,2002439
2002449,2002439
2002455,2002453
2002457,2002453
2002459,2002453
2002465,2002463
2002467,2002463
2002469,2002463
2002475,2002473
2002477,2002473
2002479,2002473
2002481,2002473
2002483,2002473
2002485,2002473
2002487,2002473
2002489,2002473
2002491,2002473
2002493,2002473
2002495,2002473
2002497,2002473
2002499,2002473
2002505,2002503
2002511,2002509
2002513,2002509
2002519,2002517
2002525,2002523
2002531,2002529
2002537,2002535
2002539,2002535
2002545,2002543
2002547,2002543
2002549,2002543
2002551,2002543
2002557,2002555
2002559,2002555
2002565,2002563
2002567,2002563
2002569,2002563
2002571,2002563
2002573,2002563
2002575,2002563
2002577,2002563
2002579,2002563
2002581,2002563
2002583,2002563
2002585,2002563
2002591,2002589
2002593,2002589
2002595,2002589
2002597,2002589
2002599,2002589
2002601,2002589
2002607,2002605
2002609,2002605
2002615,2002613
2002617,2002613
2002619,2002613
2002621,2002613
2002627,2002625
2002633,2002631
2002639,2002637
2002641,2002637
2002647,2002645
2002649,2002645
2002655,2002653
2002661,2002659
2002663,2002659
2002665,2002659
2002671,2002669
2002677,2002675
2002679,2002675
2002681,2002675
2002687,2002685
2002693,2002691
2002695,2002691
2002697,2002691
2002699,2002691
2002705,2002703
2002711,2002709
2002717,2002715
2002719,2002715
2002725,2002723
2002731,2002729
2002733,2002729
2002739,2002737
2002745,2002743
2002747,2002743
2002753,2002751
2002755,2002751
2002757,2002751
2002759,2002751
2002761,2002751
2002767,2002765
2002773,2002771
2002779,2002777
2002781,2002777
2002787,2002785
2002789,2002785
2002791,2002785
2002793,2002785
2002795,2002785
2002797,2002785
2002799,2002785
2002805,2002803
2002807,2002803
2002813,2002811
2002815,2002811
2002817,2002811
2002819,2002811
2002821,2002811
2002823,2002811
2002825,2002811
2002827,2002811
2002829,2002811
2002835,2002833
2002841,2002839
2002843,2002839
2002849,2002847
2002851,2002847
2002857,2002855
2002863,2002861
2002869,2002867
2002875,2002873
2002881,2002879
2002887,2002885
2002893,2002891
2002895,2002891
2002901,2002899
2002903,2002899
2002909,2002907
2002911,2002907
2002917,2002915
2002923,2002921
2002925,2002921
2002927,2002921
2002929,2002921
2002931,2002921
2002933,2002921
2002935,2002921
2002937,2002921
2002939,2002921
2002941,2002921
2002943,2002921
2002945,2002921
2002947,2002921
2002949,2002921
2002951,2002921
2002953,2002921
2002955,2002921
2002957,2002921
2002959,2002921
2002961,2002921
2002967,2002965
2002973,2002971
2002979,2002977
2002981,2002977
2002987,2002985
2002993,2002991
2002999,2002997
2003001,2002997
2003003,2002997
2003005,2002997
2003007,2002997
2003009,2002997
2003011,2002997
2003013,2002997
2003015,2002997
2003017,2002997
2003023,2003021
2003025,2003021
2003027,2003021
2003029,2003021
2003031,2003021
2003033,2003021
2003035,2003021
2003037,2003021
2003039,2003021
2003041,2003021
2003047,2003045
2003053,2003051
2003055,2003051
2003061,2003059
2003063,2003059
2003065,2003059
2003067,2003059
2003073,2003071
2003075,2003071
2003081,2003079
2003087,2003085
2003089,2003085
2003091,2003085
2003097,2003095
2003103,2003101
2003105,2003101
2003107,2003101
2003109,2003101
2003115,2003113
2003117,2003113
2003119,2003113
2003121,2003113
2003123,2003113
2003129,2003127
2003135,2003133
2003141,2003139
2003147,2003145
2003153,2003151
2003155,2003151
2003157,2003151
2003159,2003151
2003165,2003163
2003167,2003163
2003169,2003163
2003171,2003163
2003173,2003163
2003175,2003163
2003181,2003179
2003187,2003185
2003193,2003191
2003195,2003191
2003197,2003191
2003199,2003191
2003201,2003191
2003203,2003191
2003205,2003191
2003207,2003191
2003213,2003211
2003219,2003217
2003221,2003217
2003223,2003217
2003225,2003217
2003227,2003217
2003229,2003217
2003235,2003233
2003237,2003233
2003239,2003233
2003245,2003243
2003247,2003243
2003253,2003251
2003259,2003257
2003261,2003257
2003263,2003257
2003265,2003257
2003267,2003257
2003269,2003257
2003275,2003273
2003277,2003273
2003283,2003281
2003285,2003281
2003287,2003281
2003293,2003291
2003295,2003291
2003297,2003291
2003303,2003301
2003305,2003301
2003311,2003309
2003317,2003315
2003319,2003315
2003326,2003324
2003328,2003324
2003330,2003324
2003332,2003324
2003338,2003336
2003344,2003342
2003350,2003348
2003352,2003348
2003354,2003348
2003360,2003358
2003366,2003364
2003368,2003364
2003374,2003372
2003376,2003372
2003382,2003380
2003388,2003386
2003394,2003392
2003400,2003398
2003406,2003404
2003408,2003404
2003414,2003412
2003420,2003418
2003422,2003418
2003428,2003426
2003430,2003426
2003432,2003426
2003438,2003436
2003440,2003436
2003442,2003436
2003444,2003436
2003446,2003436
2003448,2003436
2003450,2003436
2003456,2003454
2003458,2003454
2003460,2003454
2003466,2003464
2003472,2003470
2003474,2003470
2003480,2003478
2003482,2003478
2003488,2003486
2003490,2003486
2003496,2003494
2003498,2003494
2003504,2003502
2003506,2003502
2003512,2003510
2003514,2003510
2003520,2003518
2003522,2003518
2003528,2003526
2003530,2003526
2003536,2003534
2003538,2003534
2003544,2003542
2003546,2003542
2003548,2003542
2003554,2003552
2003556,2003552
2003558,2003552
2003560,2003552
2003562,2003552
2003564,2003552
2003566,2003552
2003572,2003570
2003574,2003570
2003576,2003570
2003582,2003580
2003584,2003580
2003590,2003588
2003592,2003588
2003598,2003596
2003604,2003602
2003606,2003602
2003612,2003610
2003618,2003616
2003620,2003616
2003626,2003624
2003628,2003624
2003630,2003624
2003632,2003624
2003634,2003624
2003636,2003624
2003638,2003624
2003644,2003642
2003646,2003642
2003648,2003642
2003650,2003642
2003652,2003642
2003654,2003642
2003656,2003642
2003658,2003642
2003660,2003642
2003662,2003642
2003668,2003666
2003670,2003666
2003672,2003666
2003674,2003666
2003680,2003678
2003682,2003678
2003688,2003686
2003690,2003686
2003692,2003686
2003694,2003686
2003700,2003698
2003706,2003704
2003708,2003704
2003710,2003704
2003716,2003714
2003722,2003720
2003728,2003726
2003734,2003732
2003736,2003732
2003738,2003732
2003740,2003732
2003746,2003744
2003748,2003744
2003754,2003752
2003756,2003752
2003762,2003760
2003768,2003766
2003774,2003772
2003780,2003778
2003782,2003778
2003784,2003778
2003786,2003778
2003788,2003778
2003790,2003778
2003792,2003778
2003794,2003778
2003800,2003798
2003806,2003804
2003812,2003810
2003814,2003810
2003816,2003810
2003818,2003810
2003820,2003810
2003826,2003824
2003828,2003824
2003834,2003832
2003840,2003838
2003842,2003838
2003844,2003838
2003850,2003848
2003852,2003848
2003854,2003848
2003856,2003848
2003862,2003860
2003868,2003866
2003870,2003866
2003876,2003874
2003878,2003874
2003884,2003882
2003886,2003882
2003892,2003890
2003894,2003890
2003896,2003890
2003902,2003900
2003904,2003900
2003906,2003900
2003908,2003900
2003910,2003900
2003912,2003900
2003914,2003900
2003916,2003900
2003922,2003920
2003928,2003926
2003930,2003926
2003932,2003926
2003934,2003926
2003936,2003926
2003942,2003940
2003948,2003946
2003954,2003952
2003960,2003958
2003966,2003964
2003972,2003970
2003974,2003970
2003980,2003978
2003982,2003978
2003984,2003978
2003990,2003988
2003992,2003988
2003998,2003996
2004004,2004002
2004010,2004008
2004016,2004014
2004018,2004014
2004020,2004014
2004026,2004024
2004032,2004030
2004034,2004030
2004040,2004038
2004042,2004038
2004044,2004038
2004046,2004038
2004048,2004038
2004050,2004038
2004052,2004038
2004059,2004057
2004061,2004057
2004067,2004065
2004069,2004065
2004075,2004073
2004077,2004073
2004083,2004081
2004085,2004081
2004091,2004089
2004093,2004089
2004099,2004097
2004105,2004103
2004111,2004109
2004117,2004115
2004119,2004115
2004125,2004123
2004131,2004129
2004133,2004129
2004139,2004137
2004145,2004143
2004147,2004143
2004149,2004143
2004151,2004143
2004153,2004143
2004159,2004157
2004161,2004157
2004163,2004157
2004165,2004157
2004171,2004169
2004173,2004169
2004179,2004177
2004185,2004183
2004191,2004189
2004197,2004195
2004199,2004195
2004201,2004195
2004207,2004205
2004209,2004205
2004215,2004213
2004217,2004213
2004223,2004221
2004229,2004227
2004231,2004227
2004237,2004235
2004243,2004241
2004245,2004241
2004247,2004241
2004249,2004241
2004251,2004241
2004253,2004241
2004255,2004241
2004257,2004241
2004263,2004261
2004269,2004267
2004271,2004267
2004273,2004267
2004279,2004277
2004285,2004283
2004287,2004283
2004293,2004291
2004295,2004291
2004301,2004299
2004307,2004305
2004313,2004311
2004319,2004317
2004325,2004323
2004331,2004329
2004337,2004335
2004339,2004335
2004345,2004343
2004347,2004343
2004354,2004352
2004356,2004352
2004358,2004352
2004360,2004352
2004362,2004352
2004364,2004352
2004366,2004352
2004368,2004352
2004374,2004372
2004376,2004372
2004378,2004372
2004380,2004372
2004386,2004384
2004392,2004390
2004398,2004396
2004400,2004396
2004406,2004404
2004412,2004410
2004414,2004410
2004420,2004418
2004426,2004424
2004428,2004424
2004434,2004432
2004440,2004438
2004446,2004444
2004448,2004444
2004450,2004444
2004452,2004444
2004454,2004444
2004460,2004458
2004466,2004464
2004468,2004464
2004474,2004472
2004480,2004478
2004482,2004478
2004488,2004486
2004490,2004486
2004492,2004486
2004494,2004486
2004496,2004486
2004502,2004500
2004508,2004506
2004510,2004506
2004512,2004506
2004514,2004506
2004516,2004506
2004518,2004506
2004520,2004506
2004522,2004506
2004524,2004506
2004530,2004528
2004536,2004534
2004538,2004534
2004540,2004534
2004546,2004544
2004548,2004544
2004554,2004552
2004556,2004552
2004558,2004552
2004564,2004562
2004566,2004562
2004572,2004570
2004578,2004576
2004584,2004582
2004590,2004588
2004596,2004594
2004602,2004600
2004604,2004600
2004610,2004608
2004616,2004614
2004622,2004620
2004628,2004626
2004634,2004632
2004640,2004638
2004646,2004644
2004648,2004644
2004650,2004644
2004652,2004644
2004654,2004644
2004656,2004644
2004662,2004660
2004664,2004660
2004666,2004660
2004668,2004660
2004670,2004660
2004672,2004660
2004674,2004660
2004676,2004660
2004682,2004680
2004684,2004680
2004690,2004688
2004692,2004688
2004698,2004696
2004700,2004696
2004702,2004696
2004704,2004696
2004706,2004696
2004708,2004696
2004714,2004712
2004720,2004718
2004726,2004724
2004732,2004730
2004738,2004736
2004744,2004742
2004750,2004748
2004752,2004748
2004758,2004756
2004764,2004762
2004770,2004768
2004772,2004768
2004778,2004776
2004785,2004783
2004787,2004783
2004789,2004783
2004791,2004783
2004797,2004795
2004803,2004801
2004809,2004807
2004811,2004807
2004817,2004815
2004823,2004821
2004825,2004821
2004832,2004830
2004834,2004830
2004840,2004838
2004846,2004844
2004852,2004850
2004854,2004850
2004856,2004850
2004862,2004860
2004868,2004866
2004870,2004866
2004872,2004866
2004874,2004866
2004876,2004866
2004882,2004880
2004888,2004886
2004894,2004892
2004896,2004892
2004902,2004900
2004908,2004906
2004914,2004912
2004916,2004912
2004918,2004912
2004920,2004912
2004926,2004924
2004932,2004930
2004938,2004936
2004944,2004942
2004950,2004948
2004952,2004948
2004958,2004956
2004964,2004962
2004966,2004962
2004972,2004970
2004978,2004976
2004980,2004976
2004982,2004976
2004988,2004986
2004994,2004992
2005000,2004998
2005002,2004998
2005008,2005006
2005014,2005012
2005020,2005018
2005022,2005018
2005024,2005018
2005030,2005028
2005036,2005034
2005042,2005040
2005044,2005040
2005046,2005040
2005048,2005040
2005054,2005052
2005056,2005052
2005062,2005060
2005068,2005066
2005070,2005066
2005072,2005066
2005074,2005066
2005080,2005078
2005082,2005078
2005084,2005078
2005086,2005078
2005093,2005091
2005099,2005097
2005101,2005097
2005103,2005097
2005109,2005107
2005111,2005107
2005117,2005115
2005119,2005115
2005121,2005115
2005127,2005125
2005129,2005125
2005131,2005125
2005133,2005125
2005135,2005125
2005137,2005125
2005143,2005141
2005145,2005141
2005151,2005149
2005157,2005155
2005159,2005155
2005161,2005155
2005163,2005155
2005165,2005155
2005167,2005155
2005173,2005171
2005175,2005171
2005181,2005179
2005187,2005185
2005193,2005191
2005195,2005191
2005197,2005191
2005199,2005191
2005201,2005191
2005207,2005205
2005213,2005211
2005215,2005211
2005217,2005211
2005223,2005221
2005229,2005227
2005235,2005233
2005241,2005239
2005247,2005245
2005249,2005245
2005256,2005254
2005258,2005254
2005260,2005254
2005266,2005264
2005268,2005264
2005274,2005272
2005276,2005272
2005282,2005280
2005288,2005286
2005290,2005286
2005296,2005294
2005298,2005294
2005300,2005294
2005302,2005294
2005308,2005306
2005314,2005312
2005320,2005318
2005326,2005324
2005328,2005324
2005330,2005324
2005336,2005334
2005342,2005340
2005348,2005346
2005350,2005346
2005352,2005346
2005354,2005346
2005356,2005346
2005358,2005346
2005364,2005362
2005370,2005368
2005376,2005374
2005378,2005374
2005380,2005374
2005386,2005384
2005388,2005384
2005394,2005392
2005400,2005398
2005406,2005404
2005408,2005404
2005410,2005404
2005412,2005404
2005419,2005417
2005426,2005424
2005428,2005424
2005434,2005432
2005440,2005438
2005442,2005438
2005448,2005446
2005450,2005446
2005457,2005455
2005463,2005461
2005465,2005461
