identifier,obsolete,namespace,id,name,description,ontologyid,class
GO:0016874,,,1001844,,,,org.intermine.model.bio.GOTerm
GO:0009374,,,1001850,,,,org.intermine.model.bio.GOTerm
GO:0004674,,,1001859,,,,org.intermine.model.bio.GOTerm
GO:0006468,,,1001863,,,,org.intermine.model.bio.GOTerm
GO:0005737,,,1001873,,,,org.intermine.model.bio.GOTerm
GO:0050660,,,1001877,,,,org.intermine.model.bio.GOTerm
GO:0016491,,,1001880,,,,org.intermine.model.bio.GOTerm
GO:0045454,,,1001885,,,,org.intermine.model.bio.GOTerm
GO:0055114,,,1001888,,,,org.intermine.model.bio.GOTerm
GO:0030131,,,1001912,,,,org.intermine.model.bio.GOTerm
GO:0016192,,,1001915,,,,org.intermine.model.bio.GOTerm
GO:0006886,,,1001918,,,,org.intermine.model.bio.GOTerm
GO:0016791,,,1001981,,,,org.intermine.model.bio.GOTerm
GO:0016311,,,1001985,,,,org.intermine.model.bio.GOTerm
GO:0003684,,,1001998,,,,org.intermine.model.bio.GOTerm
GO:0006281,,,1002003,,,,org.intermine.model.bio.GOTerm
GO:0008094,,,1002008,,,,org.intermine.model.bio.GOTerm
GO:0006364,,,1002020,,,,org.intermine.model.bio.GOTerm
GO:0003887,,,1002031,,,,org.intermine.model.bio.GOTerm
GO:0004594,,,1002042,,,,org.intermine.model.bio.GOTerm
GO:0015937,,,1002046,,,,org.intermine.model.bio.GOTerm
GO:0004396,,,1002073,,,,org.intermine.model.bio.GOTerm
GO:0006096,,,1002079,,,,org.intermine.model.bio.GOTerm
GO:0005525,,,1002167,,,,org.intermine.model.bio.GOTerm
GO:0006464,,,1002175,,,,org.intermine.model.bio.GOTerm
GO:0003918,,,1002183,,,,org.intermine.model.bio.GOTerm
GO:0005694,,,1002187,,,,org.intermine.model.bio.GOTerm
GO:0006265,,,1002190,,,,org.intermine.model.bio.GOTerm
GO:0016020,,,1002224,,,,org.intermine.model.bio.GOTerm
GO:0016226,,,1002287,,,,org.intermine.model.bio.GOTerm
GO:0051536,,,1002290,,,,org.intermine.model.bio.GOTerm
GO:0005506,,,1002293,,,,org.intermine.model.bio.GOTerm
GO:0005509,,,1002374,,,,org.intermine.model.bio.GOTerm
GO:0009405,,,1002385,,,,org.intermine.model.bio.GOTerm
GO:0004872,,,1002389,,,,org.intermine.model.bio.GOTerm
GO:0005539,,,1002392,,,,org.intermine.model.bio.GOTerm
GO:0006629,,,1002405,,,,org.intermine.model.bio.GOTerm
GO:0007242,,,1002409,,,,org.intermine.model.bio.GOTerm
GO:0004435,,,1002412,,,,org.intermine.model.bio.GOTerm
GO:0004871,,,1002415,,,,org.intermine.model.bio.GOTerm
GO:0005952,,,1002456,,,,org.intermine.model.bio.GOTerm
GO:0008603,,,1002462,,,,org.intermine.model.bio.GOTerm
GO:0016301,,,1002465,,,,org.intermine.model.bio.GOTerm
